Target Level,Method,SARI,BERTScore (ref),BERTScore (src),LENS,BLEU,FKGL,Dist-1,PPL,Comp. ratio,Sent. splits,Lev. sim.,Copies,Add prop.,Del prop.,file
Simp-4, MUSS,39.6268,47.7411,65.3496,55.2228,15.9557,5.6079,94.7878,115.1505,0.6507,1.0375,0.6815,0.0,0.1346,0.44299999999999995,/home/user/kew/projects/simple_fudge/resources/muss/outputs/newsela_manual_v0_v4_test_lr0.47_ls0.79_wr0.43_td0.42.pred
Simp-2, MUSS,36.5665,63.7024,74.5189,60.2684,28.7245,7.2699,94.1795,107.9844,0.7782,1.0253,0.7525,0.0028,0.1475,0.3455,/home/user/kew/projects/simple_fudge/resources/muss/outputs/newsela_manual_v0_v2_test_lr0.75_ls0.82_wr0.94_td0.22.pred
Simp-3, MUSS,38.0481,52.3929,65.2641,57.0125,19.27,5.1896,95.4439,110.2313,0.6194,1.0143,0.6822,0.0,0.1193,0.451,/home/user/kew/projects/simple_fudge/resources/muss/outputs/newsela_manual_v0_v3_test_lr0.52_ls0.85_wr0.45_td0.62.pred
Simp-1, MUSS,35.6892,74.2967,80.9042,63.2764,50.6072,7.752000000000001,93.7497,82.8961,0.8114,1.0034,0.8443,0.0137,0.07400000000000001,0.2353,/home/user/kew/projects/simple_fudge/resources/muss/outputs/newsela_manual_v0_v1_test_lr0.3_ls0.99_wr0.54_td1.45.pred
Simp-1,$\mathcal{G}$,36.6091,80.5785,89.4163,60.7027,65.1594,9.1521,91.5912,91.8768,0.9747,1.0151,0.8857,0.1753,0.0798,0.1083,/home/user/kew/projects/simple_fudge/resources/fudge/results/bart_large_muss_mined_en/newsela_l1_article_paragraphs/newsela_manual_v0_v1_test/lambda0.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.2_softFalse_temp1.0_topk0_topp1.0_bs1.txt
Simp-1,$\mathcal{B}_{Simp-1} $1.0,36.1046,79.3071,87.8775,61.1281,61.6826,8.8121,92.1739,93.4804,0.9414,1.0063,0.8759999999999999,0.1315,0.0746,0.1342,/home/user/kew/projects/simple_fudge/resources/fudge/results/bart_large_muss_mined_en/newsela-lp_l1_article_paragraphs/newsela_manual_v0_v1_test/lambda1.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.2_softFalse_temp1.0_topk0_topp1.0_bs1.txt
Simp-1, SUPER-LR,32.4949,87.8041,98.5568,65.0249,78.492,9.3577,92.0551,79.9675,0.9911,1.0388,0.9903,0.8877,0.0066,0.0147,/home/user/kew/projects/simple_fudge/resources/supervised/newsela_manual/results/newsela_manual_v0_v1_test/lambda0.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.0_softFalse_temp1.0_topk0_topp1.0_bs1.txt
Simp-2,$\mathcal{G}$,35.0069,71.9687,89.3639,58.4193,52.8444,9.125,91.5279,92.4629,0.973,1.0156,0.8854,0.1785,0.08,0.1098,/home/user/kew/projects/simple_fudge/resources/fudge/results/bart_large_muss_mined_en/newsela_l2_article_paragraphs/newsela_manual_v0_v2_test/lambda0.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.2_softFalse_temp1.0_topk0_topp1.0_bs1.txt
Simp-2,$\mathcal{B}_{Simp-2} $4.0,38.3243,68.8421,83.4579,58.1861,48.0243,7.422000000000001,90.8133,95.8759,0.9647,1.2517,0.8408,0.0793,0.1225,0.1705,/home/user/kew/projects/simple_fudge/resources/fudge/results/bart_large_muss_mined_en/newsela-lp_l2_article_paragraphs/newsela_manual_v0_v2_test/lambda4.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.2_softFalse_temp1.0_topk0_topp1.0_bs1.txt
Simp-2, SUPER-LR,31.1198,77.1735,96.991,62.2375,61.7815,8.8775,91.99,79.5263,0.9908,1.0955,0.9790000000000001,0.7959999999999999,0.015,0.0268,/home/user/kew/projects/simple_fudge/resources/supervised/newsela_manual/results/newsela_manual_v0_v2_test/lambda0.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.0_softFalse_temp1.0_topk0_topp1.0_bs1.txt
Simp-3,$\mathcal{G}$,30.8742,62.8984,89.4397,55.9805,38.6874,9.0926,91.3635,97.6602,0.9782,1.0146,0.8865,0.1812,0.0818,0.1078,/home/user/kew/projects/simple_fudge/resources/fudge/results/bart_large_muss_mined_en/newsela_l3_article_paragraphs/newsela_manual_v0_v3_test/lambda0.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.2_softFalse_temp1.0_topk0_topp1.0_bs1.txt
