bleu;sari;fkgl;pbert_ref;rbert_ref;fbert_ref;pbert_src;rbert_src;fbert_src;ppl_mean;ppl_std;lens;lens_std;intra_dist1;intra_dist2;inter_dist1;inter_dist2;Compression ratio;Sentence splits;Levenshtein similarity;Exact copies;Additions proportion;Deletions proportion;Lexical complexity score;file_id
50.6072;35.6892;7.752;79.3793;69.3631;74.2967;87.1001;74.8507;80.9042;82.8961;75.805;63.2764;13.5095;93.7497;99.6012;28.5269;79.8173;0.8114;1.0034;0.8443;0.0137;0.074;0.2353;8.4909;/home/user/kew/projects/simple_fudge/resources/muss/outputs/newsela_manual_v0_v1_test_lr0.3_ls0.99_wr0.54_td1.45.pred
28.7245;36.5665;7.2699;67.0232;60.4435;63.7024;80.4891;68.6233;74.5189;107.9844;147.2663;60.2684;14.6585;94.1795;99.6166;29.9026;81.9365;0.7782;1.0253;0.7525;0.0028;0.1475;0.3455;8.5173;/home/user/kew/projects/simple_fudge/resources/muss/outputs/newsela_manual_v0_v2_test_lr0.75_ls0.82_wr0.94_td0.22.pred
19.27;38.0481;5.1896;57.7808;47.1227;52.3929;75.853;55.0251;65.2641;110.2313;112.7171;57.0125;20.2105;95.4439;99.7352;31.215;82.6212;0.6194;1.0143;0.6822;0.0;0.1193;0.451;8.3662;/home/user/kew/projects/simple_fudge/resources/muss/outputs/newsela_manual_v0_v3_test_lr0.52_ls0.85_wr0.45_td0.62.pred
15.9557;39.6268;5.6079;49.5408;45.9731;47.7411;74.6289;56.3228;65.3496;115.1505;116.503;55.2228;18.7059;94.7878;99.684;33.6069;84.7131;0.6507;1.0375;0.6815;0.0;0.1346;0.443;8.3851;/home/user/kew/projects/simple_fudge/resources/muss/outputs/newsela_manual_v0_v4_test_lr0.47_ls0.79_wr0.43_td0.42.pred
78.492;32.4949;9.3577;87.5307;88.1584;87.8041;98.8603;98.2676;98.5568;79.9675;73.1401;65.0249;12.2151;92.0551;99.1328;27.9902;78.6087;0.9911;1.0388;0.9903;0.8877;0.0066;0.0147;8.6131;/home/user/kew/projects/simple_fudge/resources/supervised/newsela_manual/results/newsela_manual_v0_v1_test/lambda0.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.0_softFalse_temp1.0_topk0_topp1.0_bs1.txt
61.7815;31.1198;8.8775;75.911;78.5624;77.1735;97.4183;96.5894;96.991;79.5263;70.4079;62.2375;13.6596;91.99;98.571;28.2168;78.9043;0.9908;1.0955;0.979;0.796;0.015;0.0268;8.5995;/home/user/kew/projects/simple_fudge/resources/supervised/newsela_manual/results/newsela_manual_v0_v2_test/lambda0.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.0_softFalse_temp1.0_topk0_topp1.0_bs1.txt
46.7712;37.8912;6.6494;63.502;65.0856;64.204;89.9216;84.653;87.2134;141.6514;929.4649;60.9907;19.3589;91.2324;96.6632;28.963;78.667;0.9297;1.3396;0.9009;0.4822;0.0599;0.1266;8.5263;/home/user/kew/projects/simple_fudge/resources/supervised/newsela_manual/results/newsela_manual_v0_v3_test/lambda0.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.0_softFalse_temp1.0_topk0_topp1.0_bs1.txt
30.7737;43.22;5.0882;51.0359;49.2512;50.0427;75.2439;62.0443;68.4758;200.4673;758.055;58.9357;25.8297;91.6101;92.34;30.4214;78.5064;0.7756;1.4546;0.7403;0.2422;0.1174;0.3227;8.5876;/home/user/kew/projects/simple_fudge/resources/supervised/newsela_manual/results/newsela_manual_v0_v4_test/lambda0.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.0_softFalse_temp1.0_topk0_topp1.0_bs1.txt
75.5332;38.6661;9.0598;87.341;85.7312;86.4837;97.5501;94.4325;95.9482;129.7296;852.7054;64.933;13.699;92.3445;98.5071;28.2256;78.5605;0.9582;1.0;0.9668;0.811;0.0071;0.0456;8.5912;/home/user/kew/projects/simple_fudge/resources/supervised/newsela_auto/results/newsela_manual_v0_v1_test/lambda0.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.0_softFalse_temp1.0_topk0_topp1.0_bs1.txt
53.5327;42.2354;7.5371;75.7409;70.5803;73.0312;92.4391;82.5378;87.328;130.114;863.6153;63.9114;15.7785;93.6894;98.4939;29.0994;79.6491;0.8593;0.9963;0.8862;0.5694;0.0183;0.1522;8.5647;/home/user/kew/projects/simple_fudge/resources/supervised/newsela_auto/results/newsela_manual_v0_v2_test/lambda0.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.0_softFalse_temp1.0_topk0_topp1.0_bs1.txt
36.0403;44.8143;5.4024;63.673;53.9279;58.6534;82.8179;64.86;73.5433;257.9398;1436.8303;59.4084;22.9911;95.3654;95.1087;30.9859;81.5324;0.7077;0.9828;0.7593;0.3625;0.0281;0.3031;8.4896;/home/user/kew/projects/simple_fudge/resources/supervised/newsela_auto/results/newsela_manual_v0_v3_test/lambda0.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.0_softFalse_temp1.0_topk0_topp1.0_bs1.txt
